# torch_bench: torch=2.13.0+cpu threads_swept=[1, 2, 4, 8, 16] cuda_available=False python=3.12.10
workload                   dtype  thr  inner   median_ms      p99_ms      min_ms      max_ms  result
attention_head               f64    1     59      0.5073      0.6670      0.3595      0.6670  87.114305
attention_head               f64    2     64      0.3750      0.4168      0.2927      0.4168  87.114305
attention_head               f64    4    125      0.2120      0.3214      0.1808      0.3214  87.114305
attention_head               f64    8    202      0.1798      0.2845      0.1516      0.2845  87.114305 <- best
attention_head               f64   16    111      0.2499      0.4856      0.2016      0.4856  87.114305
attention_head               f32    1     76      0.3391      1.0577      0.3021      1.0577  87.114273
attention_head               f32    2     61      0.2113      0.2732      0.1632      0.2732  87.114273
attention_head               f32    4    233      0.1786      0.2788      0.0983      0.2788  87.114273 <- best
attention_head               f32    8    126      0.4807      1.1644      0.1788      1.1644  87.114273
attention_head               f32   16     73      0.3986      0.5901      0.2474      0.5901  87.114273
elementwise_10000            f64    1    301      0.0749      0.0830      0.0442      0.0830  0.065092 <- best
elementwise_10000            f64    2    432      0.0864      0.1169      0.0583      0.1169  0.065092
elementwise_10000            f64    4    280      0.1169      0.2657      0.0865      0.2657  0.065092
elementwise_10000            f64    8    258      0.1403      0.3127      0.0732      0.3127  0.065092
elementwise_10000            f64   16    185      0.2015      0.5930      0.1278      0.5930  0.065092
elementwise_10000            f32    1    291      0.0405      0.0686      0.0234      0.0686  0.065092 <- best
elementwise_10000            f32    2    197      0.1060      0.1862      0.0574      0.1862  0.065092
elementwise_10000            f32    4    813      0.0745      0.1974      0.0579      0.1974  0.065092
elementwise_10000            f32    8    592      0.1231      0.3268      0.0763      0.3268  0.065092
elementwise_10000            f32   16    320      0.1351      0.2465      0.1049      0.2465  0.065092
elementwise_100000           f64    1     62      0.5761      0.6886      0.3704      0.6886  0.062076
elementwise_100000           f64    2     61      0.4098      0.5213      0.3514      0.5213  0.062076
elementwise_100000           f64    4     85      0.2745      0.3402      0.2191      0.3402  0.062076 <- best
elementwise_100000           f64    8    123      0.4223      0.9387      0.2696      0.9387  0.062076
elementwise_100000           f64   16     40      0.4736      0.7798      0.3211      0.7798  0.062076
elementwise_100000           f32    1     97      0.3002      0.3397      0.1701      0.3397  0.062076
elementwise_100000           f32    2    149      0.1783      0.3114      0.1536      0.3114  0.062076
elementwise_100000           f32    4    220      0.1105      0.2180      0.1001      0.2180  0.062076
